Site,Species,PlantNo,Height,Width,CanopyDepth,Thickness,Thickness,Thickness,Thickness,Thickness,AverageThickness,DateCollected,Treatment
C3,Acacia longifolia,5,2.15,1.03,1.46,0.2,0.3,0.4,0.2,0.2,0.26,11/05/2021,Exclosure
C3,Acacia longifolia,1,1.95,1.18,0.83,0.3,0.3,0.3,0.2,0.2,0.26,11/05/2021,Exclosure
C3,Acacia longifolia,3,2.08,1.11,1.19,0.3,0.2,0.2,0.2,0.2,0.22,11/05/2021,Exclosure
C3,Acacia longifolia,4,2.18,1.29,1.34,0.2,0.2,0.2,0.2,0.2,0.2,11/05/2021,Exclosure
C4,Acacia longifolia,4,2.24,1.5,1.68,0.3,0.3,0.3,0.3,0.4,0.32,11/05/2021,Exclosure
C4,Acacia longifolia,1,2.26,1.79,1.3,0.3,0.3,0.3,0.3,0.3,0.3,11/05/2021,Exclosure
C4,Acacia longifolia,2,2,1.34,0.99,0.3,0.3,0.3,0.4,0.2,0.3,11/05/2021,Exclosure
C4,Acacia longifolia,5,2.55,1.14,1.88,0.2,0.3,0.3,0.3,0.3,0.28,11/05/2021,Exclosure
C4,Acacia longifolia,3,2.08,1.64,1.43,0.2,0.2,0.3,0.2,0.3,0.24,11/05/2021,Exclosure
C6,Acacia longifolia,3,2.2,1,1.63,0.3,0.4,0.4,0.3,0.4,0.36,12/05/2021,Open
C6,Acacia longifolia,4,1.6,0.83,0.86,0.4,0.3,0.3,0.4,0.3,0.34,12/05/2021,Open
C6,Acacia longifolia,5,2.38,1.42,1.81,0.3,0.3,0.3,0.3,0.3,0.3,12/05/2021,Open
C6,Acacia longifolia,2,2.16,1.8,1.33,0.2,0.3,0.3,0.3,0.3,0.28,12/05/2021,Open
C6,Acacia longifolia,1,1.42,0.76,0.81,0.2,0.2,0.3,0.3,0.3,0.26,12/05/2021,Open
B1,Glycine clandestina,3,0.11,0.05,.,0.2,0.1,0.2,0.2,0.1,0.16,8/05/2021,Open
B1,Glycine clandestina,5,0.24,0.06,.,0.2,0.1,0.2,0.2,0.1,0.16,8/05/2021,Open
B1,Glycine clandestina,2,0.39,0.06,.,0.2,0.1,0.2,0.1,0.1,0.14,8/05/2021,Open
B1,Glycine clandestina,1,0.14,0.05,.,0.1,0.1,0.1,0.2,0.1,0.12,8/05/2021,Open
B1,Glycine clandestina,4,0.45,0.13,.,0.2,0.1,0.1,0.1,0.1,0.12,8/05/2021,Open
B3,Glycine clandestina,5,0.65,0.13,.,0.2,0.2,0.2,0.2,0.2,0.2,10/05/2021,Exclosure
B3,Glycine clandestina,1,1.78,0.1,.,0.1,0.2,0.2,0.2,0.2,0.18,8/05/2021,Exclosure
B3,Glycine clandestina,3,0.62,0.04,.,0.1,0.2,0.2,0.1,0.2,0.16,8/05/2021,Exclosure
B3,Glycine clandestina,4,0.29,0.03,.,0.2,0.2,0.1,0.1,0.1,0.14,10/05/2021,Exclosure
B3,Glycine clandestina,7,1.18,0.1,.,0.1,0.1,0.1,0.1,0.2,0.12,10/05/2021,Exclosure
