site,month,response,mean_control,mean_experimental,sd_control,sd_experimental,n_control,n_experimental,time_series_clean,days_since
Dune Marsh,18 months,Salicornia spp cover,0.104166666666667,0.0234583333333333,0.115223761227948,0.0546923039015601,12,12,2,540
Dune Marsh,51 months,Salicornia spp cover,0.161875,0.0205833333333333,0.160931680168381,0.0472564730214205,12,12,3,1530
Raccoon Keys,13 months,Salicornia spp cover,0.0489583333333333,0.051875,0.0560078964941281,0.0458644866575833,12,12,1,390
Raccoon Keys,18 months,Salicornia spp cover,0.098125,0.053,0.109014829058002,0.0427099094313763,12,12,2,540
Raccoon Keys,51 months,Salicornia spp cover,0.150888888888889,0.0674444444444445,0.1816536501453,0.0949396006826328,9,9,3,1530
Dune Marsh,18 months,Soil Organic Matter (%) 0-5 cm depth,8.01333333333333,7.11666666666667,6.21348289584591,5.3247540845194,12,12,1,540
Dune Marsh,51 months,Soil Organic Matter (%) 0-5 cm depth,7.26666666666667,6.36666666666667,4.74156348079663,4.37582892580124,12,12,2,1530
Raccoon Keys,18 months,Soil Organic Matter (%) 0-5 cm depth,4.74,4.24166666666667,1.05161347894124,1.29076322265925,12,12,1,540
Raccoon Keys,51 months,Soil Organic Matter (%) 0-5 cm depth,6.24444444444444,5.77777777777778,2.24672601306385,2.73211354896616,9,9,2,1530
Dune Marsh,18 months,Soil Organic Matter (%) 5-15 cm depth,7.52333333333333,6.785,8.287110839165,7.37642990760559,12,12,1,540
Dune Marsh,51 months,Soil Organic Matter (%) 5-15 cm depth,7.16666666666667,7.06666666666667,6.09013111268526,5.96494811885284,12,12,2,1530
Raccoon Keys,18 months,Soil Organic Matter (%) 5-15 cm depth,2.71166666666667,3.22333333333333,0.704864053086362,0.777166570812126,12,12,1,540
Raccoon Keys,51 months,Soil Organic Matter (%) 5-15 cm depth,4.86666666666667,4.53333333333333,1.6431676725155,1.35277492584687,9,9,2,1530
Dune Marsh,18 months,Soil moisture (%) 0-5 cm depth,106.708146333389,91.4539445237259,74.4922123608956,59.7177678420466,12,12,1,540
Dune Marsh,51 months,Soil moisture (%) 0-5 cm depth,84.0341666666667,77.1591666666667,53.1176555921481,44.1199411642098,12,12,2,1530
Raccoon Keys,18 months,Soil moisture (%) 0-5 cm depth,65.5149360140465,61.8325826596367,11.9629873117659,17.4023160081765,12,12,1,540
Raccoon Keys,51 months,Soil moisture (%) 0-5 cm depth,70.8533333333333,70.7933333333334,21.4044703274807,32.4346334956941,9,9,2,1530
Dune Marsh,18 months,Soil moisture (%) 5-15 cm depth,74.9147355900634,63.322343718951,67.4255702853089,44.1699117209963,12,12,1,540
Dune Marsh,51 months,Soil moisture (%) 5-15 cm depth,71.5341666666667,66.4708333333333,55.408786546135,42.6600420786421,12,12,2,1530
Raccoon Keys,18 months,Soil moisture (%) 5-15 cm depth,40.3377400055255,41.647923409318,9.57743822535108,8.59174541141237,12,12,1,540
Raccoon Keys,51 months,Soil moisture (%) 5-15 cm depth,53.4088888888889,48.2777777777778,17.0953827424574,11.8400895032278,9,9,2,1530
Dune Marsh,13 months,Spartina alterniflora cover,0.0864166666666667,0.236083333333333,0.112284912232907,0.130790747749868,12,12,1,390
Dune Marsh,18 months,Spartina alterniflora cover,0.241666666666667,0.534375,0.236050200105183,0.232066127429231,12,12,2,540
